01v21_v89t_gq3008s,alps 01v21_v89t_gq3008s mt6589 N9599T,Alps N9599T
GT-I5700,null Samsung GT-I5700,Samsung GT-I5700
GT-I5800,samsung GT-I5800 gt-i5800,Samsung GT-I5800
GT-I8150,samsung qcom GT-I8150,Samsung GT-I8150
GT-I8160,samsungcodina samsung GT-I8160,Samsung GT-I8160
GT-I8530,samsung GT-I8530 samsunggavini,Samsung GT-I8530
GT-I9000,samsung GT-I9000 aries,Samsung GT-I9000
GT-I9001,samsung qcom GT-I9001,Samsung GT-I9001
GT-I9003,samsung GT-I9003 latona,Samsung GT-I9003
GT-I9070,GT-I9070 samsungjanice samsung,Samsung GT-I9070
GT-I9070P,samsung GT-I9070P,Samsung GT-I9070P
GT-I9100,smdk4210 samsung GT-I9100 Samsung,Samsung GT-I9100
GT-I9100G,samsung GT-I9100G t1,Samsung GT-I9100G
GT-I9100M,samsung smdkc210 GT-I9100M,Samsung GT-I9100M
GT-I9100P,smdk4210 samsung GT-I9100P,Samsung GT-I9100P
GT-I9100T,samsung GT-I9100T smdkc210,Samsung GT-I9100T
GT-I9103,samsung n1 GT-I9103,Samsung GT-I9103
GT-I9111,sanjasung GT-I9111 aries,Sanjasung GT-I9111
GT-I9300,samsung smdk4x12 GT-I9300,Samsung GT-I9300
GT-I9500,Exodus BETA samsung Exodus GT-I9500 mt6572,Samsung Exodus BETA
GT-l9505,samsung SM-G531H sc8830 GT-l9505,Samsung SM-G531H
GT-N5100,samsung GT-N5100 smdk4x12,Samsung GT-N5100
GT-N5120,samsung GT-N5120 smdk4x12,Samsung GT-N5120
GT-N7000,smdk4210 samsung GT-N7000 Samsung,Samsung GT-N7000
GT-N8000,samsung smdk4x12 GT-N8000,Samsung GT-N8000
GT-N8013,samsung GT-N8013 smdk4x12,Samsung GT-N8013
GT-P1000,samsung GT-P1000,Samsung GT-P1000
GT-P1000L,samsung gt-p1000l GT-P1000L,Samsung GT-P1000L
GT-P1010,samsung GT-P1010 p1wifi,Samsung GT-P1010
GT-P5210,samsung qcom GT-P5210 kanas3gzn,Samsung GT-P5210
GT-P6200,smdk4210 samsung GT-P6200,Samsung GT-P6200
GT-P7320,GT-P7320 samsung qcom,Samsung GT-P7320
GT-P7500,samsung p3 GT-P7500,Samsung GT-P7500
GT-P7510,samsung p3 GT-P7510,Samsung GT-P7510
GT-S5300,samsung GT-S5300 bcm21553,Samsung GT-S5300
GT-S5300B,samsung GT-S5300B bcm21553,Samsung GT-S5300B
GT-S5302,GT-S5302 samsung bcm21553,Samsung GT-S5302
GT-S5360,samsung GT-S5360 bcm21553,Samsung GT-S5360
GT-S5360B,samsung bcm21553 GT-S5360B,Samsung GT-S5360B
GT-S5360L,samsung GT-S5360L bcm21553,Samsung GT-S5360L
GT-S5363,samsung bcm21553 GT-S5363,Samsung GT-S5363
GT-S5367,GT-S5367 samsung bcm21553,Samsung GT-S5367
GT-S5570,Samsung GT-S5570 gt-s5570,Samsung GT-S5570
GT-S5570I,samsung GT-S5570I bcm21553,Samsung GT-S5570I
GT-S5570L,samsung gt-s5570l GT-S5570L,Samsung GT-S5570L
GT-S5660,samsung GT-S5660 gt-s5660,Samsung GT-S5660
GT-S5670,samsung GT-S5670 gt-s5670,Samsung GT-S5670
GT-S5690,samsung pxa968 GT-S5690,Samsung GT-S5690
GT-S5830,GT-S5830 gt-s5830 samsung,Samsung GT-S5830
GT-S5830i,samsung GT-S5830i bcm21553,Samsung GT-S5830i
GT-S5830L,samsung gt-s5830l GT-S5830L,Samsung GT-S5830L
GT-S5830M,samsung GT-S5830M bcm21553,Samsung GT-S5830M
GT-S5839i,GT-S5839i samsung bcm21553,Samsung GT-S5839i
GT-S6102,samsung GT-S6102 bcm21553,Samsung GT-S6102
GT-S6102B,samsung GT-S6102B bcm21553,Samsung GT-S6102B
GT-S6500,GT-S6500 samsung qcom,Samsung GT-S6500
GT-S6500L,samsung GT-S6500L qcom,Samsung GT-S6500L
GT-S6802,samsung GT-S6802 bcm21553,Samsung GT-S6802
GT-S6802B,GT-S6802B samsung bcm21553,Samsung GT-S6802B
GT-S7500,samsung qcom GT-S7500,Samsung GT-S7500
GT1,amlogic Alvatech GT1 GT1 q201 Amlogic,Amlogic Alvatech GT1
gt510lte,gt510lte samsung qcom gt510ltexx SM-T555,Samsung SM-T555
gt510wifi,samsung SM-T550 qcom gt510wifi gt510wifixx,Samsung SM-T550
gt58lte,samsung gt58lte qcom SM-T355 gt58ltexx,Samsung SM-T355
gt58ltetmo,samsung SM-T357T qcom gt58ltetmo,Samsung SM-T357T
gt58wifi,samsung qcom SM-T350 gt58wifixx gt58wifi,Samsung SM-T350
gt5note10lte,samsung qcom gt5note10lteub gt5note10lte SM-P555M,Samsung SM-P555M
gt5note10wifi,samsung gt5note10wifixx qcom SM-P550 gt5note10wifi,Samsung SM-P550
gt5note8lte,gt5note8ltexx samsung qcom gt5note8lte SM-P355,Samsung SM-P355
gt5note8wifi,gt5note8wifi samsung qcom SM-P350 gt5note8wifixx,Samsung SM-P350
gta2slte,gta2slte samsung qcom gta2slteub SM-T385M,Samsung SM-T385M
gta2swifi,SM-T380 gta2swifi samsung qcom gta2swifidx,Samsung SM-T380
gtanotexllte,gtanotexllte samsung gtanotexlltedx samsungexynos7870 SM-P585Y,Samsung SM-P585Y
gtanotexlwifikx,samsung gtanotexlwifikx SM-P580 samsungexynos7870,Samsung SM-P580
gtaxllte,lineage_gtaxllte samsung SM-T585 gtaxllte samsungexynos7870,Samsung SM-T585
gtaxlqltespr,samsung qcom SM-T587P gtaxlqltespr,Samsung SM-T587P
gtaxlwifi,gtaxlwifi samsung gtaxlwifixx SM-T580 samsungexynos7870,Samsung SM-T580
gtel3g,samsung gtel3gub sc8830 SM-T561M gtel3g,Samsung SM-T561M
gtelwifi,samsung SM-T560 gtelwifixx gtelwifi sc8830,Samsung SM-T560
gtelwifiue,samsung qcom gtelwifiue SM-T560NU,Samsung SM-T560NU
gteslteatt,gteslteatt samsung SAMSUNG-SM-T377A universal3475 gteslteuc,SAMSUNG-SM-T377A
gtesltebmc,samsung SM-T377W gtesltebmc universal3475,Samsung SM-T377W
gtesltetmo,SM-T377T samsung universal3475 gtesltetmo,Samsung SM-T377T
gtesltevzw,samsung SM-T377V Verizon universal3475 gtesltevzw,Samsung SM-T377V
gtesqltespr,gtesqltespr samsung qcom SM-T377P,Samsung SM-T377P
gtexslte,gtexslteub samsung sc8830 gtexslte SM-T285M,Samsung SM-T285M
gtexswifi,gtexswifi samsung SM-T280 gtexswifixx sc8830,Samsung SM-T280
gtou,htc_gtou gtou HTC Desire 200 HTC htc_europe,HTC Desire 200
GTP100,espressorfxx samsung GTP100 espresso,Samsung GTP100
gtp7510,p3 GT-P7510 p4wifi Samsung,Samsung GT-P7510
gts210lte,SM-T815 samsung gts210ltexx gts210lte universal5433,Samsung SM-T815
gts210ltecan,samsung gts210ltecan universal5433 gts210ltevl SM-T817W,Samsung SM-T817W
gts210ltexx,SM-T815 samsung gts210ltexx universal5433,Samsung SM-T815
gts210velte,samsung SM-T819 qcom gts210veltexx gts210velte,Samsung SM-T819
gts210veltetmo,samsung SM-T818T qcom gts210veltetmo,Samsung SM-T818T
gts210vewifi,gts210vewifixx samsung SM-T813 gts210vewifi qcom,Samsung SM-T813
gts210wifi,samsung gts210wifi universal5433 SM-T810,Samsung SM-T810
gts28lte,gts28ltedx samsung gts28lte SM-T715Y universal5433,Samsung SM-T715Y
gts28ltexx,SM-T815 samsung gts28ltexx universal5433,Samsung SM-T815
gts28velte,samsung qcom SM-T719 gts28velte gts28veltexx,Samsung SM-T719
gts28vewifi,samsung SM-T713 gts28vewifi qcom gts28vewifixx,Samsung SM-T713
gts28wifi,samsung gts28wifixx universal5433 gts28wifi SM-T710,Samsung SM-T710
gts3llte,SM-T825 samsung gts3llte qcom gts3lltexx,Samsung SM-T825
gts3lltevzw,samsung qcom gts3lltevzw Verizon SM-T827V,Samsung SM-T827V
gts3lwifi,samsung qcom gts3lwifixx gts3lwifi SM-T820,Samsung SM-T820
gts5830i,samsung GT-S5830i bcm21553,Samsung GT-S5830i
guardian,qcom ZTE Z836BL guardian,ZTE Z836BL
guava,MStar guava MStar Semiconductor  Inc. aosp_guava_en XGIMI TV monaco,MStar Semiconductor  Inc. XGIMI TV
gucci,HM NOTE 1S Xiaomi qcom gucci,Xiaomi HM NOTE 1S
gvwifiue,samsung samsungexynos7580 gvwifiue SM-T670,Samsung SM-T670
gxq6580_weg_l,gxq6580_weg_l mt6580 Mate 9 Android,Android Mate 9
gxt_dongle_3188,gxt_dongle_3188 rk30board rockchip,Rockchip gxt_dongle_3188
h1,h1_rgs_ca h1 LGE lge LG-H831,LGE LG-H831
H120,Symphony sc7731 H120,Symphony H120
H250,Symphony H250 mt6735,Symphony H250
H3113,Sony qcom H3113,Sony H3113
h318b,h318b ID1 mt6752 ID2ME,ID2ME
H3223,Sony qcom H3223,Sony H3223
H4113,Sony qcom H4113,Sony H4113
h631,LG-H631 qcom LGE lge h631,LGE LG-H631
h7762,samsung h7762 Samsung mt6572 GT-S7582,Samsung GT-S7582
H81,H81 mt6580 Ergo Force F500,Ergo Force F500
h811,h811 qcom LGE lge g4__tmo_us LG-H811,LGE g4__tmo_us
h815,h815 qcom g4_global_com LGE LG-H815 lge,LGE g4_global_com
H8216,Sony qcom H8216,Sony H8216
H8266,Sony H8266 qcom,Sony H8266
H8324,Sony qcom H8324,Sony H8324
h850,LG-H850 qcom h1_global_com LGE h850 lge,LGE LG-H850
h870,LG-h870 lucye_global_com qcom h870 LGE lge,LGE LG-h870
h910,h910 elsa_att_us qcom LG-h910 LGE lge,LGE LG-h910
h918,qcom LG-H918 h918 LGE lge elsa_tmo_us,LGE LG-H918
h920be_v1_e_yx_a6e_gretel,full_h920be_v1_e_yx_a6e_gretel A6 mt6735 h920be_v1_e_yx_a6e_gretel Gretel,A6
h920w_v1_p_xh_x15gp_cctt_1s,mt6580 P10Pro h920w_v1_p_xh_x15gp_cctt_1s MTK GDT full_h920w_v1_p_xh_x15gp_cctt_1s,MTK P10Pro
h96pro2,amlogic h96pro2 Amlogic H96 PRO,Amlogic H96 PRO
ha3g,samsung SM-N900 universal5420 ha3g,Samsung SM-N900
Hacker Phone,4G smartphone Hacker Phone Smartphone mt6572,4G smartphone
HAFURY_UMAX,mt6580 HAFURY UMAX HAFURY_UMAX HAFURY,HAFURY UMAX
haida,MT11i Xperia Neo V haida semc SEMC,SEMC Xperia Neo V
Haier_L52,mt6735 L52 Haier Haier_L52,Haier L52
hamburg,hamburgglobal hamburg qcom blackberry BlackBerry STH100-2,BlackBerry STH100-2
hammerhead,Nexus 5 hammerhead LGE lge,LGE Nexus 5
HAMMER_ENERGY_PLAY,HAMMER_ENERGY HAMMER_ENERGY_PLAY mt6735 myPhone,MyPhone HAMMER_ENERGY
hammer_S,UMI alps mt6735 hammer_S,Alps hammer_S
hancock,MiTV3S-48 hancock Xiaomi entrapment,Xiaomi MiTV3S-48
harpia,qcom motorola harpia Moto G Play,Motorola Moto G Play
harrisonkrktt,samsung harrisonkrktt yp-gp1 YP-GP1,Samsung YP-GP1
hawaii,samsung hawaii sc8830 lineage_grandprimeve3g unknown,Samsung unknown
hawk35_umts,motorola XT914_telmx mt6575 hawk35_umts XT914,Motorola XT914
hawk40_umts,XT919_telmx hawk40_umts motorola XT919 mt6577,Motorola XT919
hayabusa,Sony hayabusa qcom Xperia TX LT29i,Sony Xperia TX
hcj3600P1,amlogic MBX M210 hcj3600P1,MBX M210
hct6580_weg_a_l,mt6580 alps hct6580_weg_a_l A96,Alps A96
hct6580_weg_c_m,C3 mt6580 full_hct6580_weg_c_m hct6580_weg_c_m OUKITEL,OUKITEL C3
hct6735m_35gu_l,Benefit M503 mt6735 full_hct6735m_35gu_l hct6735m_35gu_l ARK Blackview,Blackview Benefit M503
hct6735m_35gu_l1,HOMTOM mt6735 hct6735m_35gu_l1 full_hct6735m_35gu_l1 HT6,HOMTOM HT6
hct6735m_35gu_m0,X5pro DOOGEE hct6735m_35gu_m0 mt6735,DOOGEE X5pro
hct6735_35gu_l1,CUBOT mt6735 S550 Pro S550 hct6735_35gu_l1,CUBOT S550
hct6735_65u_m0,full_hct6735_65u_m0 CUBOT mt6735 X16 S hct6735_65u_m0,CUBOT X16 S
hct6737m_65_m0,hct6737m_65_m0 full_hct6737m_65_m0 DOOGEE mt6735 Y6C,DOOGEE Y6C
hct6750_66_n,Power_2 Ulefone hct6750_66_n mt6755 full_hct6750_66_n,Ulefone Power_2
hct6753_65u_m0,hct6753_65u_m0 mt6735 power ulefone Power,Ulefone power
hct6753_66t_b_l1,hct6753_66t_b_l1 alps R700 full_hct6753_66t_b_l1 mt6735,Alps R700
hct72_wet_jb3,BQS-4005 alps hct72_wet_jb3 mt6572,Alps BQS-4005
hct72_wet_lca,alps hct72_wet_lca Karbonn_A1+_Duple mt6572 Karbonn A1+ Duple,Alps Karbonn A1+ Duple
hct77_jb,alps hct77_jb V865M mt6577,Alps V865M
hct82_cwet_kk,Titans2_DG700 DOOGEE full_hct6582_wt_l hct82_cwet_kk mt6582,DOOGEE Titans2_DG700
heat3gtfnvzw,samsung qcom heat3gtfnvzw SM-S766C,Samsung SM-S766C
heatnfc3g,samsung SM-G310HN hawaii_ss_heatnfc3g cm_heatnfc3g heatnfc3g,Samsung SM-G310HN
heatqlte,heatqlte samsung qcom SM-G357FZ heatqltexx,Samsung SM-G357FZ
helen,helen qcom K81 P890R81_BELL ZTE,ZTE K81
helium,Xiaomi qcom MI MAX helium,Xiaomi MI MAX
hennessy,hennessy Xiaomi mt6795 cm_hennessy Redmi Note 3,Xiaomi Redmi Note 3
hermes,CUBOT Manito mt6735 hermes,CUBOT Manito
hero2lte,SM-G935F samsung samsungexynos8890 xenonhd_hero2lte hero2lte,Samsung SM-G935F
hero2ltebmc,hero2ltebmc samsung samsungexynos8890 SM-G935W8,Samsung SM-G935W8
hero2ltexx,SM-G935F samsung samsungexynos8890 lineage_hero2lte hero2ltexx,Samsung SM-G935F
hero2qlteatt,samsung hero2qlteuc hero2qlteatt qcom SAMSUNG-SM-G935A,SAMSUNG-SM-G935A
hero2qltechn,samsung qcom SM-G9350 hero2qltechn hero2qltezc,Samsung SM-G9350
hero2qltespr,samsung qcom SM-G935P hero2qltespr,Samsung SM-G935P
hero2qltetmo,samsung SM-G935T qcom hero2qltetmo,Samsung SM-G935T
hero2qlteue,SM-G935U samsung qcom hero2qlteue,Samsung SM-G935U
hero2qlteusc,samsung qcom SM-G935R4 hero2qlteusc,Samsung SM-G935R4
hero2qltevzw,hero2qltevzw qcom Sm-g935v Verizon Samsung,Samsung Sm-g935v
HERO8,mt6592 HERO8 TCL D820X,TCL D820X
herolte,samsung samsungexynos8890 lineage_herolte SM-G930F herolte,Samsung SM-G930F
heroltebmc,samsung samsungexynos8890 SM-G930W8 heroltebmc,Samsung SM-G930W8
heroltektt,samsung samsungexynos8890 heroltektt SM-G930K,Samsung SM-G930K
heroltexx,samsung samsungexynos8890 slim_herolte SM-G930F heroltexx,Samsung slim_herolte
heroqlteatt,heroqlteatt samsung SAMSUNG-SM-G930A qcom heroqlteuc,SAMSUNG-SM-G930A
