01v21_v89t_gq3008s,alps 01v21_v89t_gq3008s mt6589 N9599T,Alps N9599T
Grand_XL,mt6580 Grand XL BLU Grand_XL,BLU Grand XL
GRANT,GRANT mt6580 ZUUM,ZUUM GRANT
grape,HTP Android projector HTP Semiconductor  Inc. madison grape Mstar full_grape,HTP Semiconductor  Inc. HTP Android projector
grayjoy,qcom grayjoy ZTE ZTE_GRAYJOY N9136,ZTE N9136
grayjoylite,grayjoylite ZTE_GRAYJOYLITE qcom ZTE N9137,ZTE N9137
greatlte,samsung greatltexx greatlte SM-N950F samsungexynos8895,Samsung SM-N950F
greatlteks,samsung SM-N950N qcom greatlteks,Samsung SM-N950N
greatqlte,samsung qcom greatqlte SM-N950U greatqltesq,Samsung SM-N950U
greatqltechn,samsung qcom SM-N9500 greatqltechn greatqltezh,Samsung SM-N9500
greatqltecs,greatqltecs samsung qcom SM-N950W,Samsung SM-N950W
greatqlteue,greatqlteue samsung qcom SM-N950U1,Samsung SM-N950U1
greatwall_gr,mt8382 greatwall_gr alps E8Q,Alps E8Q
griffin,griffin_verizon griffin qcom motorola XT1650,Motorola XT1650
grouper,nakasi grouper Nexus 7 google asus,Asus Nexus 7
GS160,GS160 Gigaset mt6735 Gigaset GS160,Gigaset GS160
GS45,sc8830 Rangs revo_3204 GS45,Rangs revo_3204
gs702a,gs702a CTVision7 full_gs702a Android,CTVision7
gs702c,Actions gs702c full_gs702c TAQ-70012MK2 Android,Actions TAQ-70012MK2
GSmart_Rio_R1,GIGABYTE GSmart Rio R1 qcom GSmart_Rio_R1 Rio_R1 GSmart,GIGABYTE GSmart Rio R1
GT-I5500,samsung GT-I5500 gt-i5500,Samsung GT-I5500
